@RELATION training

@ATTRIBUTE currentTimeSlot NUMERIC
@ATTRIBUTE hour NUMERIC
@ATTRIBUTE hourAhead NUMERIC
@ATTRIBUTE date NUMERIC
@ATTRIBUTE month NUMERIC
@ATTRIBUTE year NUMERIC
@ATTRIBUTE NUMBER_OF_BROKERS NUMERIC
@ATTRIBUTE NUMBER_OF_PRODUCERS NUMERIC
@ATTRIBUTE PrevDayHAMarketClearingPrice NUMERIC
@ATTRIBUTE PrevHAMarketClearingPrice NUMERIC
@ATTRIBUTE CloudCoverage NUMERIC
@ATTRIBUTE Temperature NUMERIC
@ATTRIBUTE WSpeed NUMERIC
@ATTRIBUTE WDirection NUMERIC
@ATTRIBUTE MarketClearingPrice NUMERIC

@DATA
41,17,18,36725,10,2016,4,1,43.73745171030676,44.025333689925574,0.957,10.9,300.0,2.85,43.73745171030676
41,17,17,36726,10,2016,4,1,45.03276179439096,43.73745171030676,0.93,10.5,297.0,2.66,44.23495801219519
41,17,16,36727,10,2016,4,1,45.07402718068755,44.23495801219519,0.916,11.5,289.0,6.95,45.07402718068755
41,17,15,36728,10,2016,4,1,45.204702426898805,45.07402718068755,0.878,11.3,282.0,6.84,45.204702426898805
41,17,14,36729,10,2016,4,1,45.2298743143802,45.204702426898805,0.879,11.9,283.0,6.69,45.2298743143802
41,17,13,36730,10,2016,4,1,45.09727454663522,45.2298743143802,0.852,13.0,286.0,6.25,45.09727454663522
41,17,5,36738,10,2016,4,1,45.2794356215293,0.0,0.997,14.0,286.0,5.64,45.2794356215293
41,17,4,36739,10,2016,4,1,45.32623094404599,45.2794356215293,0.946,14.4,284.0,5.17,45.32623094404599
41,17,3,36740,10,2016,4,1,45.333372180386306,45.32623094404599,0.903,13.3,290.0,4.37,45.333372180386306
41,17,2,36741,10,2016,4,1,45.24967391975543,45.333372180386306,0.936,13.5,288.0,3.96,45.24967391975543
41,17,1,36742,10,2016,4,1,45.258015805281204,45.24967391975543,0.918,13.2,294.0,3.55,45.258015805281204
41,17,0,36743,10,2016,4,1,45.24213445201937,45.258015805281204,1.0,12.5,295.0,3.48,45.24213445201937
42,18,23,36744,10,2016,4,1,14.690778508617079,0.0,0.714,9.8,296.0,2.37,14.690778508617079
42,18,22,36745,10,2016,4,1,44.66841678081115,14.690778508617079,0.704,9.5,298.0,2.27,44.66841678081115
42,18,21,36746,10,2016,4,1,45.79938783130069,44.66841678081115,0.708,9.8,296.0,1.95,45.79938783130069
42,18,20,36747,10,2016,4,1,45.904223846589026,45.79938783130069,0.695,9.9,296.0,1.9,45.904223846589026
42,18,19,36748,10,2016,4,1,46.396518460632485,45.904223846589026,0.697,9.6,294.0,1.92,46.396518460632485
42,18,18,36749,10,2016,4,1,46.21073504283963,46.396518460632485,0.707,10.1,290.0,1.85,46.21073504283963
42,18,17,36750,10,2016,4,1,46.47059369556727,46.21073504283963,0.67,10.5,276.0,6.42,46.47059369556727
42,18,16,36751,10,2016,4,1,46.56342556232896,46.47059369556727,0.666,10.7,279.0,5.95,46.56342556232896
42,18,15,36752,10,2016,4,1,46.54137033097509,46.56342556232896,0.628,10.5,272.0,5.84,46.54137033097509
42,18,14,36753,10,2016,4,1,46.550150125370585,46.54137033097509,0.629,11.1,273.0,5.69,46.550150125370585
42,18,13,36754,10,2016,4,1,46.5000455230223,46.550150125370585,0.602,12.2,276.0,5.25,46.5000455230223
42,18,5,36762,10,2016,4,1,47.322308041615855,0.0,0.747,13.2,276.0,4.64,47.322308041615855
42,18,4,36763,10,2016,4,1,47.193590039337344,47.322308041615855,0.696,13.6,274.0,4.17,47.193590039337344
42,18,3,36764,10,2016,4,1,47.55655759718608,47.193590039337344,0.653,12.5,280.0,3.37,47.55655759718608
42,18,2,36765,10,2016,4,1,47.57591857973662,47.55655759718608,0.686,12.7,278.0,2.96,47.57591857973662
42,18,1,36766,10,2016,4,1,47.47393320933913,47.57591857973662,0.668,12.4,284.0,2.55,47.47393320933913
42,18,0,36767,10,2016,4,1,47.62023576870821,47.47393320933913,0.752,11.7,285.0,2.48,47.62023576870821
43,19,23,36768,10,2016,4,1,14.90765935584734,0.0,0.964,10.7,306.0,4.37,14.90765935584734
43,19,22,36769,10,2016,4,1,48.65270185414099,14.90765935584734,0.954,10.4,308.0,4.27,48.65270185414099
43,19,21,36770,10,2016,4,1,49.096487107871724,48.65270185414099,0.958,10.7,306.0,3.95,49.096487107871724
43,19,20,36771,10,2016,4,1,49.0779443735488,49.096487107871724,0.945,10.8,306.0,3.9,49.0779443735488
43,19,19,36772,10,2016,4,1,49.50454994976771,49.0779443735488,0.947,10.5,304.0,3.92,49.50454994976771
43,19,18,36773,10,2016,4,1,49.50245916579002,49.50454994976771,0.911,10.9,280.0,7.96,49.50245916579002
43,19,17,36774,10,2016,4,1,49.4161003190473,49.50245916579002,0.92,11.4,286.0,8.42,49.4161003190473
43,19,16,36775,10,2016,4,1,52.597982466813654,49.4161003190473,0.916,11.6,289.0,7.95,52.597982466813654
43,19,15,36776,10,2016,4,1,52.444932188764824,52.597982466813654,0.878,11.4,282.0,7.84,52.444932188764824
43,19,14,36777,10,2016,4,1,52.42338779680913,52.444932188764824,0.879,12.0,283.0,7.69,52.42338779680913
43,19,13,36778,10,2016,4,1,50.13859613502326,52.42338779680913,0.852,13.1,286.0,7.25,50.13859613502326
43,19,8,36783,10,2016,4,1,52.48612614674802,0.0,0.871,11.8,283.0,7.16,52.48612614674802
43,19,7,36784,10,2016,4,1,52.502409757201924,52.48612614674802,0.916,12.8,287.0,6.68,52.502409757201924
43,19,6,36785,10,2016,4,1,52.58890488124429,52.502409757201924,0.967,12.9,286.0,6.77,52.58890488124429
43,19,5,36786,10,2016,4,1,52.61878207018356,52.58890488124429,0.997,14.1,286.0,6.64,52.61878207018356
43,19,4,36787,10,2016,4,1,53.21565798179909,52.61878207018356,0.946,14.5,284.0,6.17,53.21565798179909
43,19,3,36788,10,2016,4,1,53.39808943542008,53.21565798179909,0.903,13.4,290.0,5.37,53.39808943542008
43,19,2,36789,10,2016,4,1,53.38103460866763,53.39808943542008,0.936,13.6,288.0,4.96,53.38103460866763
43,19,1,36790,10,2016,4,1,53.428852306909725,53.38103460866763,0.918,13.3,294.0,4.55,53.428852306909725
